probability	fixed_query	eng_words	generated_translit
55	патчи	beauty	беаути
55	патчи	katani	катани
55	патчи	petitfee	петифи
42	маска против черных точек	the skin house	те скин хоусе
38	лопатка для альгинатной маски	callicos	калликос
38	лопатка для альгинатной маски	callicos	каллицос
38	лопатка для альгинатной маски	skin guardian	скин гуардиан
15	1355	3w clinic	3в клиник
15	1355	3w clinic	3в cлиниc
0	Lador	naris	нейрис
0	Lador	naris	нарис
0	Lador	wish	виш
43	тонер с гиалуроновой кислотой	the history of whoo	те хистори оф вхо
58	праймер для лица	camellia	камеллиа
57	пробники	soroci	сороки
57	пробники	privia	привиа
50	Улиточный тонер	tony moly	тони моли
19	bridal cream	banila co	банила cо
19	bridal cream	3w clinic	3в cлиниc
19	bridal cream	elisha coy	элиша cой
39	филлер для волос lador	winner ds	виннер дс
0	farmstay	naris	нейрис
0	farmstay	naris	нарис
0	farmstay	wish	виш
46	успокаивающая маска	aspasia	аспасиа
43	бесцветный гель для бровей	cell burner	селл бурнер
43	бесцветный гель для бровей	cell burner	селл бернер
18	dr.jart	it s	ит с
0	Missha	naris	нейрис
0	Missha	naris	нарис
0	Missha	wish	виш
47	тканевые маски для лица	skineye	скинеые
45	ночной крем для лица missha	tov camellia	тов кеймеллиа
14	holly skin	it s	ит с
19	Маска увлажняющая ночная Lioele V-line Waterdrop Sleeping Pack	skin guardian	скин гуардиан
55	Бамбук	beaua	беауа
52	Маска прмидор	proud mary	проуд мари
18	cell renew bio emulsion	the face shop	те фаcе шоп
54	кокосовое масло	lion kodomo	лион кодомо
35	патчи la miso	beauty foot	беаути фот
12	seantree donkey milk water drop cream	daeng gi meo ri	даенг ги мео ри
12	ciracle pore control blackhead off sheet	3w clinic	3в cлиниc
12	ciracle pore control blackhead off sheet	the face shop	те фаcе шоп
42	набор для карбокситерапии	sungbo cleamy	сунгбо cлеами
42	набор для карбокситерапии	kocostar	кокостар
53	маски альгинатные	skin guardian	скин гуардиан
60	Для умывания	de man	де мауни
43	гидрогелевые патчи	olive farm	оливе фарм
0	limoni	naris	нейрис
0	limoni	naris	нарис
0	limoni	wish	виш
40	матирующий яичный праймер	mijin cosmetics	мийин cосметиcс
40	матирующий яичный праймер	proud mary	проуд мари
20	village 11 factory pink calming sun block spf50 p	village 11 factory	виллаге 11 фаcтори
20	village 11 factory pink calming sun block spf50 p	village 11 factory	вилладж 11 фактори
20	elizavecca mask	naris cosmetics	нарис cосметиcс
20	elizavecca mask	mijin cosmetics	мийин cосметиcс
36	патчи для носогубных складок	lion kodomo	лион кодомо
36	патчи для носогубных складок	kumano cosmetics	кумано cосметиcс
55	кислоты	miso	мисо
55	кислоты	create	крит
36	tony moly кисть	the history of	зе хистори оф
36	tony moly кисть	the history of	те хистори оф
50	сыворотки для лица	soroci	сороки
42	сужающая поры	sue show	сю шов
9	bt21	village 11 factory	виллаге 11 фаcтори
9	bt21	village 11 factory	вилладж 11 фактори
50	спонж для умывания	proud mary	проуд мари
21	some by mi	it s skin	ит с скин
21	some by mi	gi meo ri	ги мео ри
21	some by mi	it’s skin	ит’с скин
48	гидрофильные масла	de man	де маан
22	969	skin79	скин79
63	декоративная косметика	naris cosmetics	нейрис косметикс
63	декоративная косметика	mijin cosmetics	миджин косметикс
48	карбоксотерапия набор	kocostar	кокостар
60	уголь	royal	рояль
47	маска ночная	yamano	ямано
47	маска ночная	konad	конад
19	missha scalp therapy	the face shop	те фаcе шоп
18	77671	skin79	скин79
50	Персиковая помада	proud mary	проуд мейри
62	Коконы	caolion	каолион
