searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
8438	178	False	8438	1	1
Триммер	256	False	Триммер	0	0
7317	101	False	7317	0	0
11016	242	False	11016	0	0
0784	574	False	0784	1	1
Омегп	1	False	Омегп	0	0
St414	25	False	St414	1	1
6221	111	False	6221	1	1
8650	491	False	8650	0	0
191711	8	False	191711	0	0
3501	390	False	3501	17	17
лак для ногтей	233	False	лак для ногтей	6	6
0539	350	False	0539	1	1
Артикул+ 81460	1	False	Артикул+ 81460	0	0
Солнечная облепиха	3	False	Солнечная облепиха	1	1
суп	69	False	суп	11	11
3308	172	False	3308	1	1
2391	267	False	2391	0	0
beautylab	1979	False	beautylab	7	7
146w2502	141	False	146w2502	1	1
15331	36	False	15331	0	0
8375	358	False	8375	1	1
1869	376	False	1869	0	0
Топ	148	False	Топ	11	11
подарочный	47	False	подарочный	19	19
кисть	563	False	кисть	12	12
кошелёк	6	False	кошелёк	0	0
Неглиже	103	False	Неглиже	4	4
1839	672	False	1839	1	1
тональный	211	False	тональный	11	11
0931	1002	False	0931	1	1
11537	5	False	11537	0	0
31008	3	False	31008	0	0
0722	320	False	0722	1	1
8613	563	False	8613	0	0
0510	2329	False	0510	0	0
44017	302	False	44017	1	1
Кайал	42	False	Кайал	1	1
15114	333	False	15114	0	0
Теней	10	False	Теней	7	7
щипцы	36	False	щипцы	0	0
40091	138	False	40091	1	1
0878	180	False	0878	0	0
Пробные	10	False	Пробные	0	0
скраб	712	False	скраб	12	12
шарф	127	False	шарф	18	18
9001	128	False	9001	0	0
195430	10	False	195430	0	0
платье из фактурног	7	True	платье из фактурного	4	0
217702	6	False	217702	1	1
6284	29	False	6284	0	0
дезодорант мужской	16	False	дезодорант мужской	0	0
192064	35	False	192064	1	1
Pacific	59	False	Pacific	1	1
1190	13	False	1190	0	0
мыло	2333	False	мыло	19	19
11262	388	False	11262	0	0
2190	387	False	2190	0	0
054179	2	False	054179	0	0
шампунь	1377	False	шампунь	19	19
2290	1268	False	2290	1	1
40052	101	False	40052	1	1
3184	159	False	3184	0	0
4668	82	False	4668	1	1
2358	533	False	2358	1	1
7490	51	False	7490	0	0
Каталог	822	False	Каталог	0	0
Ваниль	23	True	vanilla	18	1
8249	6	False	8249	1	1
2157	615	False	2157	0	0
0736	415	False	0736	1	1
Освежитель	327	False	Освежитель	10	10
146W3203	380	False	146W3203	0	0
41042	34	False	41042	0	0
3704	264	False	3704	1	1
0815	435	False	0815	1	1
1044	370	False	1044	1	1
8114	323	False	8114	0	0
40033	172	False	40033	1	1
СЛИВОЧНОЕ БИЗЕ	1	True	сливочное из	0	1
11119	4940	False	11119	1	1
11234	660	False	11234	1	1
0801	299	False	0801	1	1
8169	194	False	8169	0	0
средство для ванной	26	False	средство для ванной	0	0
8733	336	False	8733	0	0
884765	32	False	884765	0	0
5697	120	False	5697	0	0
крем зимний	2	False	крем зимний	0	0
40064	1962	False	40064	1	1
8496	330	False	8496	0	0
8383	102	False	8383	0	0
8646	592	False	8646	0	0
158w3220	57	False	158w3220	1	1
195289	26	False	195289	1	1
Маска	881	False	Маска	18	18
2385	206	False	2385	0	0
50006	13	False	50006	0	0
11050	1839	False	11050	1	1
1689	528	False	1689	1	1
1685	544	False	1685	1	1
2256	883	False	2256	1	1
брюки из бар	3	False	брюки из бар	19	19
11251	1012	False	11251	1	1
1069	557	False	1069	0	0
84154	21	False	84154	1	1
2365	633	False	2365	1	1
8776	72	False	8776	0	0
11151	2311	False	11151	1	1
1624	176	False	1624	0	0
bw352	30	False	bw352	1	1
193856	7	False	193856	1	1
Зубная паста	574	False	Зубная паста	18	18
0276	789	False	0276	1	1
Перчатка	35	False	Перчатка	3	3
5529	437	False	5529	0	0
11838	1	False	11838	0	0
11292	2373	False	11292	1	1
7152	17	False	7152	0	0
34139	52	False	34139	0	0
Каша	43	False	Каша	4	4
11049	1385	False	11049	1	1
памада	10	True	помада	0	15
146w3203	525	False	146w3203	0	0
8255	145	False	8255	1	1
11291	1191	False	11291	1	1
8962	274	False	8962	1	1
Духов	21	False	Духов	1	1
44100	75	False	44100	0	0
70317	133	False	70317	0	0
78032	147	False	78032	0	0
11377	5	False	11377	0	0
Тренд	1	False	Тренд	0	0
11038	814	False	11038	1	1
11215	1077	False	11215	0	0
средство для чистки	56	False	средство для чистки	3	3
501651	1	False	501651	0	0
521146	11	False	521146	1	1
наша география	2	False	наша география	0	0
Клубника	4	False	Клубника	4	4
018W4105	12	False	018W4105	0	0
884595	9	False	884595	1	1
Корректор	151	False	Корректор	8	8
11093	79	False	11093	0	0
127w3302	13	False	127w3302	1	1
0241	379	False	0241	1	1
78030	36	False	78030	1	1
увлажняющие	3	False	увлажняющие	0	0
1125	16	False	1125	1	1
5471	1494	False	5471	0	0
840012	25	False	840012	0	0
0123	457	False	0123	1	1
8994	461	False	8994	0	0
0547	394	False	0547	1	1
Kaori	187	False	Kaori	6	6
9538	128	False	9538	1	1
крем для лица	285	False	крем для лица	17	17
500803	6	False	500803	0	0
450765	6	False	450765	1	1
трусы	138	False	трусы	19	19
0541	380	False	0541	1	1
Плед	119	False	Плед	1	1
чехол	76	False	чехол	4	4
3463	99	False	3463	1	1
Бальзам для волос	114	False	Бальзам для волос	3	3
146w2604	114	False	146w2604	1	1
7363	153	False	7363	1	1
Bon couture	1	False	Bon couture	0	0
0868	129	False	0868	0	0
8719	128	False	8719	0	0
88140	6	False	88140	0	0
Сухой	24	False	Сухой	14	14
5530	661	False	5530	0	0
191957	1	False	191957	1	1
мыло металлическое	17	False	мыло металлическое	0	0
ежевика	11	False	ежевика	8	8
2390	396	False	2390	0	0
820180	3	False	820180	1	1
8682	809	False	8682	1	1
пребиотик	17	False	пребиотик	4	4
11331	739	False	11331	1	1
3053	107	False	3053	0	0
3035	288	False	3035	2	2
3176	215	False	3176	1	1
0763	483	False	0763	1	1
Лосьон	69	False	Лосьон	4	4
84091	4	False	84091	1	1
От накипи	19	False	От накипи	0	0
Сумка	893	False	Сумка	16	16
сухой шампунь	214	False	сухой шампунь	0	0
st417	54	False	st417	1	1
8267	168	False	8267	1	1
063	1	False	063	11	11
2253	146	False	2253	0	0
146W1202	148	False	146W1202	2	2
11352	348	False	11352	0	0
500821	15	False	500821	0	0
5421	58	False	5421	0	0
помада	848	False	помада	15	15
Пробники помад	16	False	Пробники помад	0	0
8722	404	False	8722	0	0
40058	319	False	40058	1	1
5567	911	False	5567	1	1
тату	33	False	тату	3	3
5435	749	False	5435	1	1
щипчики	10	False	щипчики	0	0
Для мытья	19	False	Для мытья	13	13
клюква	29	False	клюква	16	16
11114	9	False	11114	0	0
1194	469	False	1194	1	1
654020	5	False	654020	1	1
44012	351	False	44012	1	1
89183060166	1	False	89183060166	0	0
81792	15	False	81792	0	0
Масло	114	False	Масло	16	16
9984	1883	False	9984	1	1
41000	220	False	41000	1	1
0562	523	False	0562	0	0
7257	739	False	7257	0	0
5556	1143	False	5556	1	1
Бюст	22	False	Бюст	19	19
11220	3101	False	11220	1	1
600047	1	False	600047	0	0
128W2320	23	False	128W2320	1	1
0546	301	False	0546	0	0
БЛЕСКИ ДЛЯ ГЛАЗ	1	False	БЛЕСКИ ДЛЯ ГЛАЗ	0	0
40050	72	False	40050	1	1
крем для декальте	1	True	крем для декольте	0	0
11210	985	False	11210	0	0
пуховка для пудры	1	False	пуховка для пудры	0	0
тостовки женские	3	True	толстовки женские	0	0
блески	2	False	блески	0	0
43079	74	False	43079	1	1
11696	377	False	11696	0	0
3021	236	False	3021	0	0
5552	1163	False	5552	0	0
194763	9	False	194763	0	0
1070	584	False	1070	0	0
Екатеринбург	1	False	Екатеринбург	0	0
15392	145	False	15392	0	0
884047	2	False	884047	0	0
1864	598	False	1864	0	0
PH232	22	False	PH232	1	1
БекжановМажит	3	False	БекжановМажит	0	0
039w2602	29	False	039w2602	0	0
7298	88	False	7298	1	1
каталог	1266	False	каталог	0	0
Шампунь	1373	False	Шампунь	19	19
41098	212	False	41098	0	0
легинсы	241	True	леггинсы	19	8
497044	11	False	497044	0	0
пробник	1063	False	пробник	18	18
1838	851	False	1838	1	1
варежки	47	False	варежки	4	4
0709	505	False	0709	0	0
1163	258	False	1163	1	1
2132	823	False	2132	1	1
2351	671	False	2351	0	0
8393	647	False	8393	1	1
457915	12	False	457915	0	0
191002	1	False	191002	1	1
0721	427	False	0721	1	1
3013	364	False	3013	0	0
11128	222	False	11128	0	0
2150	375	False	2150	1	1
2289	1002	False	2289	0	0
2241	64	False	2241	0	0
Туалетная вода	141	False	Туалетная вода	19	19
11094	274	False	11094	1	1
5247	127	False	5247	1	1
43059	284	False	43059	0	0
3043	201	False	3043	1	1
40034	382	False	40034	1	1
0262	458	False	0262	1	1
195192	10	False	195192	1	1
eyeliner glamline	1	False	eyeliner glamline	0	0
11203	670	False	11203	0	0
0561	1117	False	0561	0	0
5520	468	False	5520	0	0
8343	375	False	8343	1	1
блузка Лилии	2	False	блузка Лилии	0	0
bp302	11	False	bp302	1	1
18038	143	False	18038	0	0
0823	158	False	0823	0	0
126W4102	114	False	126W4102	1	1
dkw011	6	False	dkw011	1	1
11528	84	False	11528	0	0
1500	760	False	1500	1	1
84556	16	False	84556	1	1
Pour Toujours	74	False	Pour Toujours	3	3
Ahmadullina	1	True	akhmadullina	0	10
0776	718	False	0776	1	1
2110	429	False	2110	3	3
11524	338	False	11524	1	1
04294	8	False	04294	0	0
11034	545	False	11034	0	0
11195	1422	False	11195	1	1
для дома	15	False	для дома	0	0
40108	34	False	40108	1	1
863947	1	False	863947	0	0
8412	440	False	8412	0	0
2360	215	False	2360	0	0
Краска для волос	783	False	Краска для волос	6	6
0724	394	False	0724	1	1
039W4105	41	False	039W4105	0	0
2399	7	False	2399	0	0
3186	46	False	3186	0	0
146w4111	534	False	146w4111	0	0
Zoya	2	False	Zoya	1	1
8345	326	False	8345	1	1
TT001	50	False	TT001	1	1
колготки	973	False	колготки	18	18
8222	48	False	8222	0	0
40031	101	False	40031	1	1
матовая помада	65	False	матовая помада	0	0
2373	349	False	2373	0	0
Джинсы для мужчины	11	False	Джинсы для мужчины	6	6
sl201	86	False	sl201	1	1
7470	57	False	7470	1	1
40035	82	False	40035	1	1
11535	939	False	11535	1	1
8421	1086	False	8421	0	0
40007	792	False	40007	1	1
8348	411	False	8348	0	0
магазин	10	False	магазин	0	0
11552	1367	False	11552	0	0
4574	188	False	4574	1	1
039w4102	4	False	039w4102	0	0
мыло для кухни	1083	False	мыло для кухни	8	8
473040	1	False	473040	0	0
2448	395	False	2448	1	1
Celsius	90	False	Celsius	10	10
5225	89	False	5225	1	1
199474	3	False	199474	1	1
Ботас	6	False	Ботас	0	0
bp301	8	False	bp301	1	1
12483	1	False	12483	0	0
Патчи	221	False	Патчи	0	0
